#{"t_start": 1725716920.5609028, "env_id": null}
r,l,t
0.0,3,0.093144
0.0,5,0.097553
0.0,5,0.101753
0.0,5,0.106052
0.0,5,0.110943
0.0,5,0.11547
0.0,56,0.156025
0.0,5,0.160525
0.0,5,0.165155
0.0,5,0.170026
0.0,3,0.173452
0.0,5,0.178098
0.0,4,0.183492
0.0,5,0.189839
0.0,5,0.195607
0.0,5,0.200827
0.0,4,0.204997
0.0,3,0.208017
0.0,5,0.212061
0.0,5,0.216746
0.0,5,0.221087
0.0,5,0.226172
0.0,3,0.229585
0.0,4,0.233514
0.0,5,0.237946
0.0,3,0.241013
0.0,5,0.245069
0.0,3,0.248099
0.0,5,0.253523
0.0,5,0.258307
0.0,5,0.262646
0.0,3,0.265436
0.0,5,0.269433
0.0,49,0.30051
0.0,5,0.304709
0.0,5,0.308817
0.0,5,0.312954
0.0,3,0.31584
0.0,5,0.319794
0.0,54,0.354303
0.0,5,0.358476
0.0,5,0.362518
0.0,5,0.366477
0.0,5,0.370695
0.0,4,0.374716
0.0,3,0.377675
0.0,8,0.384136
0.0,5,0.388665
0.0,5,0.392839
0.0,13,0.402889
0.0,4,0.406957
0.0,5,0.411094
0.0,5,0.415537
0.0,3,0.423469
0.0,5,0.42785
0.0,3,0.430774
0.0,7,0.43632
0.0,5,0.440445
0.0,5,0.444546
0.0,5,0.449354
0.0,5,0.453795
0.0,5,0.458353
0.0,5,0.464293
0.0,5,0.470113
0.0,5,0.474194
0.0,3,0.477065
0.0,5,0.481192
0.0,5,0.486122
0.0,5,0.490367
0.0,9,0.49744
0.0,3,0.500567
0.0,5,0.50488
0.0,5,0.509204
0.0,5,0.513627
0.0,4,0.517744
0.0,5,0.523885
0.0,4,0.532762
0.0,5,0.536988
0.0,5,0.541083
0.0,5,0.546162
0.0,5,0.551262
0.0,5,0.557339
0.0,5,0.562148
0.0,5,0.566743
0.0,5,0.570798
0.0,5,0.574759
0.0,3,0.577712
0.0,5,0.581784
0.0,5,0.58585
0.0,5,0.590278
0.0,3,0.59311
0.0,4,0.596548
1.0,300,0.783908
0.0,8,0.789755
0.0,5,0.793837
0.0,5,0.797861
0.0,5,0.80186
0.0,5,0.805996
0.0,3,0.808888
0.0,3,0.812265
0.0,3,0.815479
0.0,5,0.819605
0.0,5,0.82375
0.0,3,0.826641
0.0,4,0.82996
0.0,5,0.834014
0.0,4,0.837462
0.0,5,0.841502
0.0,5,0.845398
0.0,75,0.891284
0.0,5,0.895326
0.0,5,0.899395
0.0,7,0.904612
0.0,5,0.908518
0.0,5,0.91247
0.0,5,0.916489
0.0,88,0.970358
0.0,5,0.974516
0.0,5,0.978656
0.0,9,0.985414
0.0,3,0.988262
0.0,5,0.992377
0.0,5,0.996317
0.0,3,0.999167
0.0,5,1.002988
0.0,3,1.00571
0.0,5,1.009781
