#{"t_start": 1725717948.791187, "env_id": null}
r,l,t
0.0,5,0.009194
0.0,5,0.016006
0.0,5,0.160134
0.0,5,0.167504
0.0,5,0.17473
0.0,64,0.280084
0.0,5,0.287436
0.0,5,0.294585
0.0,3,0.299235
0.0,5,0.306877
0.0,5,0.31447
0.0,5,0.321766
0.0,6,0.330186
0.0,5,0.337288
0.0,5,0.344479
0.0,45,0.401731
0.0,5,0.408851
0.0,9,0.421015
0.0,5,0.428173
0.0,5,0.435732
0.0,5,0.443005
0.0,30,0.481955
0.0,5,0.489065
0.0,5,0.496243
0.0,5,0.503455
0.0,5,0.511266
0.0,3,0.516018
0.0,5,0.523398
0.0,7,0.534527
0.0,5,0.542736
0.0,5,0.5503
0.0,5,0.557593
0.0,3,0.562225
0.0,5,0.569477
0.0,5,0.576664
0.0,4,0.582626
0.0,5,0.589811
0.0,5,0.596961
0.0,5,0.604133
0.0,5,0.611703
0.0,3,0.616426
0.0,5,0.623526
0.0,5,0.630687
0.0,9,0.642868
0.0,5,0.650096
0.0,5,0.657244
0.0,5,0.6644
0.0,5,0.671473
0.0,5,0.678653
0.0,3,0.683674
0.0,5,0.690956
0.0,4,0.696854
0.0,5,0.703994
0.0,4,0.70989
0.0,5,0.716991
0.0,4,0.723356
0.0,5,0.73058
0.0,5,0.737773
0.0,5,0.745464
0.0,5,0.753024
0.0,5,0.762486
0.0,5,0.772027
0.0,5,0.781605
0.0,5,0.790074
0.0,3,0.795215
0.0,5,0.803063
0.0,4,0.811371
0.0,3,0.817233
0.0,5,0.826493
0.0,3,0.833361
0.0,4,0.84
0.0,3,0.844792
0.0,5,0.852163
0.0,5,0.859403
0.0,3,0.864043
0.0,5,0.871381
0.0,3,0.87613
0.0,3,0.880924
0.0,3,0.885682
0.0,5,0.893959
0.0,5,0.901794
0.0,5,0.911059
0.0,5,0.921106
0.0,91,1.117476
0.0,8,1.184188
0.0,5,1.193409
0.0,4,1.20939
0.0,5,1.219172
0.0,5,1.228525
0.0,5,1.238694
0.0,5,1.24875
0.0,5,1.258172
0.0,5,1.267532
0.0,5,1.2768
0.0,5,1.285643
0.0,5,1.29374
0.0,5,1.301876
0.0,5,1.309884
0.0,5,1.317961
0.0,3,1.323735
0.0,9,1.337504
0.0,5,1.345647
0.0,5,1.353764
0.0,4,1.360415
0.0,5,1.368472
0.0,4,1.375185
0.0,5,1.383247
0.0,5,1.391289
0.0,5,1.399378
0.0,5,1.407317
0.0,5,1.41445
0.0,5,1.421596
0.0,5,1.428755
0.0,5,1.435927
0.0,5,1.443783
0.0,3,1.448486
0.0,4,1.455727
0.0,5,1.463621
0.0,5,1.470858
0.0,9,1.483505
0.0,28,1.520018
0.0,4,1.52595
0.0,5,1.533125
0.0,3,1.537726
0.0,43,1.592942
0.0,5,1.600067
0.0,5,1.607207
0.0,5,1.614298
0.0,5,1.621467
0.0,5,1.629065
0.0,222,1.908051
0.0,5,1.915274
0.0,4,1.921116
0.0,5,1.928218
0.0,5,1.935236
0.0,5,1.942344
0.0,4,1.948244
0.0,5,1.955361
0.0,5,1.962501
0.0,5,1.970168
0.0,4,1.976584
0.0,5,1.983736
0.0,4,1.989569
0.0,9,2.001671
0.0,5,2.008767
0.0,143,2.186951
0.0,5,2.194352
0.0,4,2.201174
0.0,5,2.208366
0.0,3,2.213521
0.0,5,2.220835
0.0,3,2.225462
0.0,5,2.232533
0.0,5,2.239645
0.0,5,2.246794
0.0,5,2.253882
0.0,5,2.260987
0.0,5,2.268053
0.0,3,2.272669
0.0,5,2.280213
0.0,5,2.28744
0.0,3,2.292063
0.0,5,2.299181
0.0,5,2.306344
0.0,5,2.313489
0.0,5,2.320506
0.0,5,2.327635
0.0,3,2.332273
0.0,5,2.339389
0.0,5,2.346922
0.0,5,2.354122
0.0,4,2.359973
0.0,5,2.366984
0.0,5,2.373998
0.0,5,2.381105
0.0,4,2.386969
0.0,214,2.653732
0.0,4,2.659736
0.0,5,2.666898
0.0,5,2.674611
0.0,5,2.68235
0.0,5,2.689509
0.0,4,2.695408
0.0,5,2.702489
0.0,5,2.709744
0.0,3,2.714402
0.0,5,2.721516
0.0,5,2.728651
0.0,159,2.92762
0.0,5,2.935456
0.0,15,2.955775
0.0,3,2.960504
0.0,4,2.966481
0.0,5,2.973629
0.0,4,2.979629
0.0,6,2.987972
0.0,5,2.995112
0.0,9,3.0072
0.0,9,3.019261
0.0,5,3.026773
0.0,5,3.03405
0.0,4,3.039939
0.0,5,3.047085
0.0,4,3.052931
0.0,5,3.06009
0.0,5,3.067104
0.0,5,3.074167
0.0,5,3.081382
0.0,5,3.088481
0.0,5,3.096161
0.0,5,3.103286
0.0,5,3.110384
0.0,5,3.117472
0.0,3,3.122081
0.0,5,3.129223
0.0,5,3.136329
0.0,5,3.14415
0.0,5,3.151536
0.0,5,3.1588
0.0,5,4.044581
0.0,5,4.052313
0.0,5,4.059646
0.0,6,4.068038
0.0,3,4.072709
0.0,3,4.077403
0.0,5,4.084534
